W3181,,Genome count,PMID,Product Descriptor,GENE,Alias,Role,Regulated by,Essentiality Class in MR-1,FIG Function,FIG Subsystem,CAZY,family,Merops family,cofactor (organic),cofactor (inorganic,substrate,Transport Family,EC NUMBER,evolution,Genome count,Localization,Group ID
W3181_0544,,22,22125499,zinc/cadmium-responsive efflux pump,,,Transport | export ABC - Zn/Cu,,Dispensable,Transporter,,,,,,,,9.B.28,,core,1,IM 8 TM,Shw00365
W3181_0545,,18,,putative negative regulator of univalent cation permeability,,,,,Unknown,Putative SPFH domain protein,,,,,,,,8.A.21,,,1,IM 1 TM,Shw00366
W3181_0546,,11,,iron-regulated inner membrane protein,,,Iron homeostasis,Fur,Dispensable,hypothetical protein,,,,,,,,,,,1,IM 3 TM,Shw00367
W3181_0547,,13,,iron-regulated inner membrane protein,,,Iron homeostasis,Fur,Unknown,hypothetical protein,,,,,,,,,,mobile,1,IM 3 TM,Shw00368
W3181_0548,,13,,iron-regulated inner membrane protein,,,Iron homeostasis,Fur,Dispensable,putative iron-regulated membrane protein,,,,,,,,,,mobile,1,IM 8 TM,Shw00369
W3181_0549,,17,,transporter MFS superfamily,,,Transport,,Dispensable,Transporter MFS superfamily,,,,,,,,2.A.1,,,1,IM 12 TM,Shw00370
W3181_0550,,16,,divalent anion:Na+ symporter (DASS) family,,,Transport Na Transport|symport,,,Transporter NadC family,,,,,,,,2.A.47,,,1,IM 13 TM,Shw06951a
W3181_0551,,13,,thioredoxin 2 TrxC,trxC,,,,Expected Essential,Thioredoxin,,,,,,Zn,,,1.8.1.8,,1,cyt,Shw00371
W3181_0552,,16,,peptidyl-prolyl cis-trans isomerase FklB,fklB,,,,Dispensable,Peptidyl-prolyl cis-trans isomerase FKBP-type,,,,,,,,,5.2.1.8,,1,cyt,Shw00372
W3181_0553,,16,,diguanylate cyclase with PAS/PAC sensor,,,Sensory transduction,,,Diguanylate cyclase/phosphodiesterase domain 2,,,,,,,,,2.7.7.65,,1,cyt,Shw06937
W3181_0554,,3,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,cyt,Shw04779
W3181_0555,,7,,flavocytochrome c tetraheme subunit,,,respiration,,,Flavocytochrome c heme subunit,Flavocytochrome C,,,,heme c,,,,,,1,peri,Shw06174
W3181_0556,,7,,flavocytochrome c flavin subunit,,,respiration,,,Twin-arginine translocation pathway signal precursor,,,,,FAD,,,,,,1,peri,Shw06175
W3181_0557,,5,,Tannase and feruloyl esterase,,,,,,Tannase and feruloyl esterase,,,,,,,,,"3.1.1.20, 3.1.1.73",,1,LP-surface,Shw05703
W3181_0558,,7,,outer membrane porin OprD family,,,Omp porin,,,benzoate-specific porin,Benzoate degradation,,,,,,,1.B.25,,,1,OM,Shw06173
W3181_0559,,7,,transcriptional regulator with FCD domain GntR family,,,Sensory transduction,,,Transcriptional regulator GntR family homolog 2,,,,,,,,,,,1,cyt,Shw06176
W3181_0560,,12,,protein of unknown function DUF1850,,,,,Dispensable,DUF1850 domain-containing protein,A TRAP transporter and a hypothetical,,,,,,,,,,1,cyt,Shw00373
W3181_0561,,12,22125499,alpha-ketoglutarate uptake system bifunctional large and small subunit permease component,,,Transport|Trap - alpha-ketoglutarate,,Dispensable,TRAP transporter 4TM/12TM fusion protein unknown substrate 1,A TRAP transporter and a hypothetical,,,,,,,2.A.56,,,1,IM 16 TM,Shw00374
W3181_0562,,12,,alpha-ketoglutarate uptake system substrate-binding component,,,Transport|Trap - alpha-ketoglutarate,,Dispensable,TRAP transporter solute receptor unknown substrate 1,A TRAP transporter and a hypothetical,,,,,,,2.A.56,,,1,peri,Shw00375
W3181_0563,,16,,conserved lysine rich protein,,,,,Unknown,hypothetical protein,,,,,,,,,,,1,cyt,Shw00376
W3181_0564,,11,,putative ATPase DUF853 family,,,,,Dispensable,ATPase,,,,,ATP,,,,,,1,cyt,Shw00377
W3181_0565,,17,,NUDIX family hydrolase,,,,,Dispensable,MutT/nudix family protein,,,,,,,,,3.6.1.-,,1,cyt,Shw00381
W3181_0566,,7,,conserved hypothetical protein,,,,,,Methyltransferase (EC 2.1.1.-),,,,,,,,,,,1,cyt,Shw06228
W3181_0567,,1,,penicillin binding protein family 1A,,,Peptidoglycan Biosynthesis,,,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),Peptidoglycan Biosynthesis; <br>Type IV pilus,GT51,,,,,,,,mobile - integron,1,IM 5 TM,W3181_0567
W3181_0568,,22,,DNA helicase II UvrD,uvrD,,DNA repair,,Dispensable,ATP-dependent DNA helicase UvrD/PcrA,DNA repair bacterial UvrD and related helicases,,,,,,,,3.6.1.-,core,1,cyt,Shw00382
W3181_0569,,22,,4-hydroxybenzoate octaprenyltransferase UbiA,ubiA,,Ubiquinone Biosynthesis,,Expected Essential,4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-),Ubiquinone Biosynthesis,,,,,,,,2.5.1.-,core,1,IM 6 TM,Shw00383
W3181_0570,,15,,FMN-dependent nitronate monooxygenase,,,Fatty Acid Biosynthesis FASII,,Dispensable,Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9),Fatty Acid Biosynthesis FASII,,,,FMN,,,,1.13.12.16,,1,cyt,Shw00386a
W3181_0571,,11,,inner membrane protein of unknown function UPF0118,,,Transport | export - AI2,,Dispensable,putative membrane protein,,,,,,,,2.A.86,,,1,IM 8 TM,Shw00387
W3181_0572,,13,,pathogenecity locus protein Cdd1,cdd1,,,,,Mitomycin resistance protein,,,,,,,,,,,1,cyt,Shw00388
W3181_0573,,21,,protein of unknown function DUF2166,,,,,Unknown,hypothetical protein,,,,,,,,,,no Sfri,1,cyt,Shw00389
W3181_0574,,15,,cytochrome c maturation system periplasmic thioredoxin SirH,sirH,,cytochrome biogenesis - type IV,,Dispensable,Thioredoxin,,,,,,,,,,,1,peri,Shw00390
W3181_0575,,15,,cytochrome c maturation system haem lyase subunit SirF,sirF,,cytochrome biogenesis - type IV,,Dispensable,cytochrome C biogenesis protein,,,,,,,,,,,1,IM 1 TM,Shw00391
W3181_0576,,15,,cytochrome c maturation system haem lyase subunit SirE,sirE,ccmF,cytochrome biogenesis - type IV,,Dispensable,Cytochrome c-type heme lyase subunit nrfE nitrite reductase complex assembly,Nitrate and nitrite ammonification,,,,,,,9.B.14.1,,,1,IM 15 TM,Shw00392
W3181_0577,,15,,sulfite reductase octaheme cytochrome c SirA,sirA,,Electron transfer - sulfite,,Dispensable,cytochrome c putative,,,,,heme c (8),,,,1.8.-.-,,1,peri,Shw05205b
W3181_0578,,15,,sulfurtransferase SirB,sirB,,Electron transfer - sulfite,,Unknown,Rhodanese domain protein,,,,,,,,,,,1,peri,Shw05206b
W3181_0579,,15,,cytochrome c maturation system peptidyl-prolyl cis-trans isomerase SirI,sirI,,protein maturation - cytochrome c,,Dispensable,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8),Peptidyl-prolyl cis-trans isomerase; <br>Potassium homeostasis,,,,,,,,5.2.1.8,,1,peri,Shw00395a
W3181_0580,,15,,cytochrome c maturation system haem lyase subunit SirG,sirG,,protein maturation - cytochrome c,,Dispensable,Cytochrome c-type heme lyase subunit nrfG nitrite reductase complex assembly,Nitrate and nitrite ammonification,,,,,,,,,,1,IM 2 TM,Shw00396a
W3181_0581,,15,,ABC-type copper uptake system periplasmic chaperone component NosL,nosL,,Chaperone - copper,,Dispensable,Nitrous oxide reductase maturation protein outer-membrane lipoprotein NosL,Denitrification,,,,,Cu,,,,,1,LP-OM,Shw06901a
W3181_0582,,15,,ABC-type copper transport system substrate-binding component NosD,nosD,,Transport | uptake ABC - copper,,Dispensable,Nitrous oxide reductase maturation protein NosD,Denitrification,,,,,,,3.A.1.132,,,1,peri,Shw00400b
W3181_0583,,15,,ABC-type copper transport system ATPase component NosF,nosF,,Transport | uptake ABC - copper,,Dispensable,Nitrous oxide reductase maturation protein NosF (ATPase),Denitrification,,,,ATP,,,3.A.1.132,3.6.3.-,,1,cyt-IM assoc,Shw06903a
W3181_0584,,15,,ABC-type copper transport system permease component NosY,nosY,,Transport | uptake ABC - copper,,Dispensable,Nitrous oxide reductase maturation transmembrane protein NosY,Denitrification,,,,,,,3.A.1.132,,,1,IM 6 TM,Shw06904a
W3181_0585,,15,,transmembrane transcriptional regulator CadC family,,,1CP - sulfite others,,Dispensable,transcriptional regulator CadC,,,,,,,,,,,1,IM 1 TM,Shw06905a
W3181_0586,,13,,flavoprotein oxygenase,,,,,Dispensable,Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),,,,,FMN,,,,,,1,cyt,Shw00405a
W3181_0587,,2,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,cyt,Shw03603
W3181_0588,,22,,NAD(P)H-flavin reductase Fre,fre,,D-lactate utilization,,Dispensable,NAD(P)H-flavin reductase (EC 1.5.1.29) (EC 1.16.1.3),Ubiquinone Biosynthesis,,,,FAD FAD / NAD(P),,,,1.5.1.29,core,1,cyt,Shw00409
W3181_0589,,22,,3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD,ubiD,,Ubiquinone Biosynthesis,,Unknown,3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-),Ubiquinone Biosynthesis,,,,,,,,4.1.1.-,core,1,cyt,Shw00410
W3181_0590,,22,,hypothetical protein,,,toxin? Questionable group- in synteny but low homology many lengths,,Dispensable,hypothetical protein,,,,,,,,,,core,1,extra,Shw00411
W3181_0591,,4,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,IM 1 TM,Shw05367
W3181_0592,,19,,oxidoreductase short-chain dehydrogenase/reductase family,,,,,Dispensable,Oxidoreductase short-chain dehydrogenase/reductase family,,,,,,,,,,no Sama Swoo,1,cyt,Shw00412
W3181_0593,,22,,3-dehydroquinate dehydratase type II AroQ,aroQ,,Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate),,Dispensable,3-dehydroquinate dehydratase II (EC 4.2.1.10),Chorismate Synthesis; <br>Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate); <br>Quinate degradation,,,,,,,,4.2.1.10,core,1,cyt,Shw00414
W3181_0594,,22,,stop codon-independent peptidyl-tRNA hydrolyzing factor YaeJ,yaeJ,,Translation termination factors,,Unknown,Hypothetical protein YaeJ with similarity to translation release factor,Translation termination factors bacterial,,,,,,,,,core,1,cyt,Shw00415
W3181_0595,,22,,protein of unknown function DUF3478,,,Heavy metal resistance,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00416
W3181_0596,,22,,DUF3012 domain-containing lipoprotein,,,Heavy metal resistance,,Unknown,hypothetical protein,,,,,,,,,,core,1,LP-OM,Shw00417
W3181_0597,,22,,conserved hypothetical protein,,,Heavy metal resistance (chaperone?),,Unknown,hypothetical protein,,,,,,,,,,core,1,peri,Shw00418
W3181_0598,,19,,heavy metal efflux pump secretin component CzcC family,,,secretin RND - heavy metals,,Dispensable,Outer membrane protein probably efflux family,,,,,,,,1.B.17,,,1,OM,Shw00419
W3181_0599,,22,,heavy metal efflux pump MFP component CzcB family,,,Transport RND|export - heavy metals,,Dispensable,Probable Co/Zn/Cd efflux system membrane fusion protein,Cobalt-zinc-cadmium resistance,,,,,,,8.A.1,,core,1,IM 1 TM,Shw00420
W3181_0600,,22,,heavy metal efflux pump permease component CzcA family,,,Transport RND|export - heavy metals,,Dispensable,Cobalt-zinc-cadmium resistance protein CzcA; Cation efflux system protein CusA,Cobalt-zinc-cadmium resistance; <br>Cobalt-zinc-cadmium resistance,,,,,,,2.A.6.1,,core,1,IM 12 TM,Shw00421
W3181_0601,,12,,monooxygenase domain protein,,,,,Unknown,Mll4602 protein,,,,,,,,,,,1,cyt,Shw00422
W3181_0602,,11,,large conductance mechanosensitive ion channel protein MscL,mscL,,Transport - ions,,Dispensable Unclear In Ecoli,Large-conductance mechanosensitive channel,Potassium homeostasis,,,,,,,1.A.22.1,,,1,IM 2 TM,Shw00423
W3181_0603,,22,,acteyltransferase GNAT family ElaA,elaA,,modification - protein,,Expected Essential,ElaA protein,cAMP signaling in bacteria,,,,,,,,,core,1,cyt,Shw00427
W3181_0604,,13,,antibiotic biosynthesis monooxygenase family protein,,,defense - antibiotic,,Dispensable,hypothetical protein,,,,,,,,,,,1,cyt,Shw00428a
W3181_0605,,13,,redox-active disulfide protein 2,,,Arsenic resistance,,Unknown,Redox-active disulfide protein 2,,,,,,,,,,,1,cyt,Shw00435
W3181_0606,,14,,periplasmic protein of unknown function DUF2927,,,,,Dispensable,hypothetical protein,,,,,,,,,,,1,peri,Shw00438
W3181_0607,,18,,RNA-metabolizing metallo-beta-lactamase family protein,,,virulence - B-lactam resistance,,Dispensable,Metallo-beta-lactamase family protein,,,,,,,,,,,1,cyt,Shw00439
W3181_0608,,18,,sodium:alanine symporter AgcS,agcS,,Transport|symport - Na+:alanine,,,Probable sodium:alanine symporter,,,,,,,,2.A.25.1,,,1,IM 10 TM,Shw07020
W3181_0609,,14,,protein of unknown function DUF1704,,,,,Dispensable,hypothetical protein,,,,,,,,,,,1,cyt,Shw00440
W3181_0610,,21,,hypothetical protein,,,,,Unknown,hypothetical protein,,,,,,,,,,core? (check Sben),1,cyt,Shw00441
W3181_0611,,12,,two component signal transduction system histidine kinase with CHASE and PAS sensory domains,,,2CP HK,,Dispensable,Sensory box histidine kinase,,,,,ATP,,,,2.7.13.3,,1,IM 2 TM,Shw00442
W3181_0612,,13,,two component signal transduction system response regulator,,,2CP RR (CheY?),,,Two-component response regulator,,,,,,,,,,,1,cyt-IM assoc,Shw00443
W3181_0613,,13,,two component signal transduction system response regulator with diguanylate cyclase/phosphodiesterase acitivity,,,2CP RR Sensory transduction,,Dispensable,Sensory box/GGDEF family protein,,,,,,,,,2.7.7.65,,1,cyt,Shw00444
W3181_0614,,12,,ribosomal protein S6 glutaminyl transferase RimK,rimK,,Ribosome biogenesis,,Dispensable,Ribosomal protein S6 glutaminyl transferase,Ribosome biogenesis bacterial,,,,,,,,,,1,cyt,Shw01803c
W3181_0615,,20,,putative outer membrane protein TIGR02001 family,,,Omp:nitrogen?,,Unknown,Conserved hypothetical protein 2001,,,,,,,,1.B,,mtr core? (check Sben),1,OM,Shw00446
W3181_0616,,22,,histone-like DNA-binding protein,,,DNA structural protein,,Unknown,DNA-binding protein HU-alpha,DNA structural proteins bacterial,,,,,,,,,core,1,cyt,Shw00447
W3181_0617,,19,,two component signal transduction system response regulator,,,2CP RR,,Dispensable,Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY,Bacterial Chemotaxis; <br>Flagellar motility,,,,ATP,,,,,,1,cyt,Shw00448
W3181_0618,,22,,hypothetical inner membrane protein,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,IM 4 TM,Shw00449
W3181_0619,,22,,conserved protein of unknown function,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00450
W3181_0620,,18,,hypothetical periplasmic protein,,,,,Dispensable,hypothetical protein,,,,,,,,,,,1,IM 1 TM,Shw00452
W3181_0621,,22,,periplasmic protein of unknown function DUF3016,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,peri,Shw00453
W3181_0622,,17,,bifunctional diguanylate cyclase/phosphodiesterase,,,Sensory transduction,,Dispensable,EAL domain/GGDEF domain protein,,,,,,,,,,,1,cyt,Shw00454
W3181_0623,,22,,conserved protein of unknown function,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00455
W3181_0624,,22,,conserved hypothetical protein GumN,gumN,,,,Dispensable Unclear In Ecoli,hypothetical protein,,,,,,,,,,core,1,peri,Shw00456
W3181_0625,,17,,SAM-dependent methyltransferase SmtA,smtA,,,,Dispensable,S-adenosylmethionine-dependent methyltransferase,,,,,SAM,,,,,mobile,1,cyt,Shw00457
W3181_0626,,22,,MaoC domain protein,,,,,Dispensable,Acyl dehydratase,CBSS-246196.1.peg.364,,,,,,,,,core,1,cyt,Shw00458
W3181_0627,,20,,formate--tetrahydrofolate ligase Fhs,fhs,,Folate Biosynthesis,,Dispensable,Formate--tetrahydrofolate ligase (EC 6.3.4.3),Folate Biosynthesis; <br>One-carbon metabolism by tetrahydropterines; <br>Serine-glyoxylate cycle,,,,ATP,,,,6.3.4.3,no Sden Sfri,1,cyt,Shw00459
W3181_0628,,21,,membrane protein,,,,,Unknown,hypothetical protein,,,,,,,,,,mtr core,1,IM 1 TM,Shw00462
W3181_0629,,22,,ABC-type zinc uptake system zinc chaperone,,,chaperone,,,hypothetical protein,,,,,,Zn,,,,core,1,peri,Shw07296
W3181_0630,,22,,zinc-regulated TonB-dependent zinc receptor,,,Omp TonB|Zn,,Dispensable,Zinc-regulated TonB-dependent outer membrane receptor,,,,,,Zn,,1.B.14,,core,1,OM,Shw00463
W3181_0631,,22,,ABC-type zinc uptake system substrate-binding component ZnuA,znuA,,Transport | uptake ABC - Zn,,Dispensable,Zinc ABC transporter periplasmic-binding protein ZnuA,,,,,,Zn,,3.A.1.15,,core,1,peri,Shw00464
W3181_0632,,22,,ABC-type zinc uptake system permease component ZnuB,znuB,,Transport | uptake ABC - Zn,,Dispensable,Zinc ABC transporter inner membrane permease protein ZnuB,,,,,,Zn,,3.A.1.15,,core,1,IM 8 TM,Shw00465
W3181_0633,,22,,1-acyl-sn-glycerol-3-phosphate acyltransferase PlsC,plsC,,Glycerolipid and Glycerophospholipid Metabolism,FabR,Surprise Dispensable,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),Glycerolipid and Glycerophospholipid Metabolism in Bacteria; <br>Phosphate metabolism,,,,,,,,2.3.1.51,core,1,IM 1 TM,Shw00466
W3181_0634,,22,19717586,ribonuclease E inhibitor RraB,rraB,,RNA processing and degradation,FabR,Dispensable,Ribonuclease E inhibitor RraB,RNA processing and degradation bacterial,,,,,,,,,core,1,cyt,Shw00467
W3181_0635,,22,,diguanylate cyclase with PAS sensory domain,,,Sensory transduction,,Dispensable,diguanylate cyclase (GGDEF domain) with PAS/PAC sensor,CBSS-323850.3.peg.3142,,,,,,,,2.7.7.65,core,1,cyt,Shw00468
W3181_0636,,22,,chemotaxis signal transduction system inhibitor of MCP methylation CheC,cheC,,Chemotaxis,,Dispensable,Chemotaxis protein CheC -- inhibitor of MCP methylation,Bacterial Chemotaxis; <br>CBSS-323850.3.peg.3142,,,,ATP,,,,,core,1,cyt,Shw00469
W3181_0637,,22,,enoyl-CoA hydratase/isomerase family protein,,,FA oxidation I,FadR,Dispensable,Enoyl-CoA hydratase (EC 4.2.1.17),Acetyl-CoA fermentation to Butyrate; <br>Butanol Biosynthesis; <br>Butyrate metabolism cluster; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism; <br>Valine degradation,,,,,,,,,core,1,cyt,Shw00470
W3181_0638,,22,,protein of unknown function of DUF3530,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,peri,Shw00471
W3181_0639,,22,,RNA polymerase-associated helicase RapA,rapA,,,,Dispensable,RNA polymerase associated protein RapA (EC 3.6.1.-),CBSS-326442.4.peg.1852; <br>EC49-61,,,,,,,,3.6.1.-,core,1,cyt,Shw00472
W3181_0640,,22,,predicted ATPase PhoH family,,,Phosphate metabolism,,Dispensable,Predicted ATPase related to phosphate starvation-inducible protein PhoH,Phosphate metabolism,,,,ATP,,,,,core,1,cyt,Shw00473
W3181_0641,,22,,two component signal transduction system controlling anaerobic respiration hybrid histidine kinase/response regulator with Cache and PAS sensory domains ArcS,arcS,,2CP HHK - anaerobic respiration DMSO,,Dispensable,Sensory box histidine kinase/response regulator,,,,,ATP,,,,2.7.13.3,core,1,IM 2 TM,Shw00474
W3181_0642,,21,,periplasmic metalloprotease,,,,,Dispensable,hypothetical protein,,,,,,,,,,no Sden,1,peri,Shw00475
W3181_0643,,22,,serine/threonine protein kinase,,,,Fnr,Dispensable,Protein kinase,,,,,,,,,2.7.11.1,core,1,cyt,Shw00476
W3181_0644,,22,,Zn-binding protein,,,,,Unknown,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00477
W3181_0645,,22,,thiopurine S-methyltransferase TpmT,tpmT,,,,Dispensable,Thiopurine S-methyltransferase (EC 2.1.1.67),,,,,,,,,2.1.1.67,core,1,cyt,Shw00478
W3181_0646,,22,,bacterioferritin-associated ferredoxin Bfd,bfd,,Iron homeostasis,Fur,Unknown,Bacterioferritin-associated ferredoxin,,,,,,2Fe-2S,,,,core,1,cyt,Shw00479
W3181_0647,,12,,chemotaxis signal transduction system methyl accepting sensory transducer with PAS sensory domain,,,Chemotaxis - MCP - O2,,Dispensable,Aerotaxis sensor receptor protein,Bacterial Chemotaxis,,,,,,,,,,1,IM 2 TM,Shw00480
W3181_0648,,19,,membrane protein of unknown function DUF3392,,,,,Unknown,hypothetical protein,,,,,,,,,,,1,IM 3 TM,Shw00482
W3181_0649,,21,,glycerophosphodiester phosphodiesterase,,,Glycerol and Glycerol-3-phosphate Uptake and Utilization,,Dispensable,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),CBSS-176299.4.peg.1996A; <br>Glycerol and Glycerol-3-phosphate Uptake and Utilization,,,,,,,,3.1.4.46,no Svi,1,cyt,Shw00483
W3181_0650,,21,,small conductance mechanosensitive ion channel protein MscS family,,,Transport - ion,,Dispensable,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Potassium homeostasis,,,,,,,1.A.23.1,,no Sden,1,IM 11 TM,Shw00484
W3181_0651,,21,,10 TMS drug/metabolite efflux pump (DME) family,,,Transport - efflux,,,Permeases of the drug/metabolite transporter (DMT) superfamily,,,,,,,,2.A.7.3,,no Sden,1,IM 10 TM,Shw00485
W3181_0652,,22,,phosphatidylserine decarboxylase Psd,psd,,Glycerolipid and Glycerophospholipid Metabolism,,,Phosphatidylserine decarboxylase (EC 4.1.1.65),Glycerolipid and Glycerophospholipid Metabolism in Bacteria,,,,pyridoxyl phosphate (PLP) pyruvate,,,,4.1.1.65,core,1,cyt-IM assoc,Shw00486
W3181_0653,,22,,30S ribosome assembly GTPase RsgA,rsgA,engC yjeQ,Ribosome biogenesis,,Expected Essential,Ribosome small subunit-stimulated GTPase EngC,Universal GTPases,,,,GTP,,,,3.6.5.-,core,1,cyt,Shw00487
W3181_0654,,22,,3'-5' oligoribonuclease Orn,orn,,RNA processing and degradation,,Expected Essential,3-prime-to-5-prime oligoribonuclease (orn),RNA processing and degradation bacterial,,,,,,,,3.1.13.3,core,1,cyt,Shw00488
W3181_0655,,22,,protein of unknown function,,,,,Dispensable,hypothetical protein,,,,,,,,,,core,1,cyt,Shw00489
W3181_0656,,19,,hydroxyethylthiazole kinase-related protein YjeF,yjeF,,,,Dispensable,YjeF protein function unknown,YjeE,,,,,,,,,no Sden Sfri,1,cyt,Shw00490
W3181_0657,,22,,ATPase YjeE,yjeE,,YjeE/YeaZ/YgjD essential signal transduction network,,Expected Essential,ATPase YjeE predicted to have essential role in cell wall biosynthesis,YjeE,,,,ATP,,,,,core,1,cyt,Shw00491
W3181_0658,,22,,N-acetylmuramoyl-L-alanine amidase AmiB,amiB,,Recycling of Peptidoglycan Amino Acids,,New Essential,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids,CBM50,,,,,,,3.5.1.28,core,1,peri,Shw00492
W3181_0659,,22,,DNA mismatch repair protein MutL,mutL,,DNA repair,,Dispensable,DNA mismatch repair protein MutL,DNA repair bacterial MutL-MutS system,,,,ATP,,,,,core,1,cyt,Shw00493
W3181_0660,,22,,tRNA dimethylallyltransferase MiaA,miaA,,tRNA processing,,Expected Essential,tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8),tRNA processing,,,,,,,,2.5.1.75,core,1,cyt,Shw00494
W3181_0661,,22,,RNA-binding pleiotrophic regulator Hfq,hfq,,Phage lysis-lysogeny switch,,Expected Essential,RNA-binding protein Hfq,Hfl operon; <br>Polyadenylation bacterial,,,,,,,,,core,1,cyt,Shw00495
W3181_0662,,22,,50S ribosome assembly GTPase HflX,hflX,,Phage lysis-lysogeny switch,,Dispensable,GTP-binding protein HflX,Hfl operon; <br>Universal GTPases,,,,GTP,,,,3.6.5.-,core,1,cyt,Shw00496
W3181_0663,,22,,membrane anchored FtsH modulator component 1 HflK,hflK,,Phage lysis-lysogeny switch,,Unknown,HflK protein,Hfl operon,,,,,,,,,core,1,IM 1 TM,Shw00497
W3181_0664,,22,,membrane anchored FtsH modulator component 2 HflC,hflC,,Phage lysis-lysogeny switch,,Dispensable,HflC protein,Hfl operon,,,,,,,,,core,1,IM 1 TM,Shw00498
W3181_0665,,22,,ubiquinol-cytochrome c reductase FeS subunit PetA,petA,,Ubiquinone Menaquinone-cytochrome c reductase complex,,Dispensable,Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2),Ubiquinone Menaquinone-cytochrome c reductase complexes,,,,,2Fe-2S,,,1.10.2.2,core,1,IM 1 TM,Shw00499
W3181_0666,,22,,ubiquinol-cytochrome c reductase cytochrome b subunit PetB,petB,,Ubiquinone Menaquinone-cytochrome c reductase complex,,Dispensable,Ubiquinol--cytochrome c reductase cytochrome B subunit (EC 1.10.2.2),Ubiquinone Menaquinone-cytochrome c reductase complexes,,,,heme b,,,,1.10.2.2,core,1,IM 10 TM,Shw00500
W3181_0667,,22,,ubiquinol-cytochrome c reductase cytochrome c1 subunit PetC,petC,,Ubiquinone Menaquinone-cytochrome c reductase complex,,Dispensable,ubiquinol cytochrome C oxidoreductase cytochrome C1 subunit,Ubiquinone Menaquinone-cytochrome c reductase complexes,,,,heme c,,,,1.10.2.2,core,1,IM 1 TM,Shw00501
W3181_0668,,22,,transcpriptional activator SspA,sspA,,1CP|activator - carbon starvation,,Unknown,Stringent starvation protein A,Carbon Starvation,,,,,,,,,core,1,cyt,Shw00502
W3181_0669,,22,,stringent starvation protein b SspB,sspB,,Carbon starvation,,Unknown,Stringent starvation protein B,Carbon Starvation,,,,,,,,,core,1,cyt,Shw00503
W3181_0670,,5,,conserved hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,cyt,Shw05748
W3181_0671,,3,,two component signal transduction system response regulator,,,2CP RR,,,Two-component system sensor histidine kinase/response regulator hybrid,,,HTH_AraC,,,,,,,,1,IM 1 TM,Shw04778
W3181_0672,,2,,diguanylate cyclase,,,Sensory transduction,,,FOG: GGDEF domain,,,,,,,,,2.7.7.65,,1,IM 7 TM,Shw03604
W3181_0673,,2,,conserved hypothetical lipoprotein,,,,,,Type IV fimbrial biogenesis protein PilY1,Bacterial motility:Gliding; <br>Type IV pilus,,,,,,,,,,1,LP-OM,Shw03605
W3181_0674,,2,,protein of unknown function DUF1566,,,,,,Conserved domain protein,,,,,,,,,,,1,extra,Shw03606
W3181_0675,,2,,protein of unknown function DUF1566,,,,,,,,,,,,,,,,,1,extra,Shw03607
W3181_0676,,2,,protein of unknown function DUF1566,,,,,,hypothetical protein,,,,,,,,,,,1,extra,Shw03608
W3181_0677,,2,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,peri,Shw03609
W3181_0678,,3,,hypothetical protein,,,,,,hypothetical protein,,,,,,,,,,,1,cyt,Shw04777
W3181_0679,,11,,periplasmic peptidase family M16B,,,non-peptidase,,Dispensable,Peptidase M16 family,,,,M16B,,Zn,,,3.4.-.-,,1,peri,Shw06721
W3181_0680^,,6,,transcriptional regulator YidZ,yidZ,,1CP - chloramphenicol resistance?,,Dispensable,Putative transcriptional regulator LYSR-type,,,LysR,,,,,,,mobile - integron mixed,1,cyt,Shw05891
